,Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates,"GDP per capita (output, multiple price benchmarks)",Population (historical estimates),Continent
29905,Lithuania,LTU,2019,1.6136,32483.44,2849083.0,
30682,Luxembourg,LUX,2019,1.3483,90479.41,619981.0,
30941,Macao,MAC,2019,1.077,93488.375,663660.0,
31025,Madagascar,MDG,2019,3.9783,1539.063,27533134.0,
31284,Malawi,MWI,2019,4.0716,1161.3806,18867340.0,
31543,Malaysia,MYS,2019,1.834,25735.309,32804024.0,
31802,Maldives,MDV,2019,1.7365,19411.275,504518.0,
32024,Mali,MLI,2019,6.1029,2446.2075,20567430.0,
32283,Malta,MLT,2019,1.1602,38910.08,503646.0,
32882,Mauritania,MRT,2019,4.5207,4676.1816,4383853.0,
33141,Mauritius,MUS,2019,1.3938,23437.75,1296284.0,
33472,Mexico,MEX,2019,1.9165,18736.527,125085312.0,
33954,Moldova,MDA,2019,1.7803,9438.566,3109496.0,
34435,Mongolia,MNG,2019,2.9367,11900.283,3232435.0,
34694,Montenegro,MNE,2019,1.7605,21849.92,630403.0,
34916,Montserrat,MSR,2019,1.5822,15573.098,4528.0,
35100,Morocco,MAR,2019,2.3818,7923.9307,36304408.0,
35359,Mozambique,MOZ,2019,4.7826,1228.8705,30285602.0,
35618,Myanmar,MMR,2019,2.2002,5153.375,53040212.0,
35878,Namibia,NAM,2019,3.4037,9353.127,2446648.0,
36359,Nepal,NPL,2019,2.0805,3631.0178,28832500.0,
36618,Netherlands,NLD,2019,1.5762,55569.44,17363260.0,
37058,New Zealand,NZL,2019,1.854,41522.477,4959033.0,
37295,Nicaragua,NIC,2019,2.3768,5024.2754,6663919.0,
37554,Niger,NER,2019,6.9614,1210.8782,23443400.0,
37813,Nigeria,NGA,2019,5.3793,4983.6753,203304496.0,
38663,North Macedonia,MKD,2019,1.351,15779.604,2114175.0,
39069,Norway,NOR,2019,1.5369,73668.79,5348285.0,
39659,Oman,OMN,2019,2.776,30723.287,4602769.0,
39918,Pakistan,PAK,2019,3.62,5026.2085,223293280.0,
40399,Palestine,PSE,2019,3.6423,7386.203,4909775.0,
40621,Panama,PAN,2019,2.3752,29879.904,4232538.0,
41139,Paraguay,PRY,2019,2.5248,12319.808,6530029.0,
41399,Peru,PER,2019,2.2424,12236.712,32824864.0,
41658,Philippines,PHL,2019,2.8047,8448.533,110380800.0,
41918,Poland,POL,2019,1.4476,31985.158,38493600.0,
42177,Portugal,PRT,2019,1.4172,31796.8,10289921.0,
42556,Qatar,QAT,2019,1.8338,114100.81,2807242.0,
42915,Romania,ROU,2019,1.746,27888.36,19524212.0,
43174,Russia,RUS,2019,1.5021,28526.293,145742288.0,
43433,Rwanda,RWA,2019,3.9389,2279.5068,12835029.0,
43852,Saint Kitts and Nevis,KNA,2019,1.5685,22938.94,47739.0,
44100,Saint Lucia,LCA,2019,1.4237,14237.587,178594.0,
44543,Saint Vincent and the Grenadines,VCT,2019,1.8384,11101.596,104940.0,
45263,Sao Tome and Principe,STP,2019,3.964,3784.7568,214612.0,
45522,Saudi Arabia,SAU,2019,2.5038,51824.88,35827364.0,
45782,Senegal,SEN,2019,4.5171,3247.833,16000783.0,
46041,Serbia,SRB,2019,1.5169,17220.316,7401056.0,
46361,Seychelles,SYC,2019,2.4163,27783.162,104386.0,
46583,Sierra Leone,SLE,2019,4.1922,1875.1897,8046830.0,
46842,Singapore,SGP,2019,0.9621,82336.34,5866408.0,
47101,Sint Maarten (Dutch part),SXM,2019,1.6008,31100.963,43002.0,
47173,Slovakia,SVK,2019,1.5649,27473.168,5453932.0,
47432,Slovenia,SVN,2019,1.6114,34093.465,2112905.0,
48282,South Africa,ZAF,2019,2.4748,12536.135,58087060.0,
48801,South Korea,KOR,2019,0.9141,42219.47,51803832.0,
49285,Spain,ESP,2019,1.2336,40366.4,47131372.0,
49544,Sri Lanka,LKA,2019,2.0187,13290.122,21649664.0,
